Seed	Class	Mean	Std
0	0	[1. 0.]	[0. 0.]
0	1	[3.74569807e-37 1.00000000e+00]	[1.18390133e-35 0.00000000e+00]
1	0	[1. 0.]	[0. 0.]
1	1	[2.66246708e-47 1.00000000e+00]	[8.41524939e-46 0.00000000e+00]
2	0	[1. 0.]	[0. 0.]
2	1	[0. 1.]	[0. 0.]
3	0	[1. 0.]	[0. 0.]
3	1	[1.75936441e-41 1.00000000e+00]	[5.01498849e-40 0.00000000e+00]
4	0	[1. 0.]	[0. 0.]
4	1	[0. 1.]	[0. 0.]
5	0	[0.93976778 0.06023221]	[0.18474639 0.18474638]
5	1	[0. 1.]	[0. 0.]
6	0	[1. 0.]	[0. 0.]
6	1	[4.22031799e-39 1.00000000e+00]	[1.30907275e-37 0.00000000e+00]
7	0	[1. 0.]	[0. 0.]
7	1	[1.03696086e-46 1.00000000e+00]	[3.27751818e-45 0.00000000e+00]
8	0	[1. 0.]	[0. 0.]
8	1	[3.21664397e-22 1.00000000e+00]	[1.01374349e-20 0.00000000e+00]
9	0	[0.92590098 0.07409902]	[0.25028231 0.25028231]
9	1	[1.77760383e-29 1.00000000e+00]	[5.61846384e-28 0.00000000e+00]
10	0	[1. 0.]	[0. 0.]
10	1	[0. 1.]	[0. 0.]
11	0	[1. 0.]	[0. 0.]
11	1	[0. 1.]	[0. 0.]
12	0	[1. 0.]	[0. 0.]
12	1	[1.0127963e-39 1.0000000e+00]	[3.06466462e-38 0.00000000e+00]
13	0	[9.99043579e-01 9.56420611e-04]	[0.01549531 0.0154953]
13	1	[1.17429792e-42 1.00000000e+00]	[3.67343564e-41 0.00000000e+00]
14	0	[1. 0.]	[0. 0.]
14	1	[1.48651577e-41 1.00000000e+00]	[4.6983865e-40 0.0000000e+00]
15	0	[1. 0.]	[0. 0.]
15	1	[0. 1.]	[0. 0.]
16	0	[1. 0.]	[0. 0.]
16	1	[5.60519386e-48 1.00000000e+00]	[1.77163145e-46 0.00000000e+00]
17	0	[1. 0.]	[0. 0.]
17	1	[0. 1.]	[0. 0.]
18	0	[1. 0.]	[0. 0.]
18	1	[0. 1.]	[0. 0.]
19	0	[1. 0.]	[0. 0.]
19	1	[0. 1.]	[0. 0.]
20	0	[0.6433873  0.35661269]	[0.41655905 0.41655906]
20	1	[0. 1.]	[0. 0.]
21	0	[1. 0.]	[0. 0.]
21	1	[0. 1.]	[0. 0.]
22	0	[0.99847671 0.00152329]	[0.03086525 0.03086525]
22	1	[4.47320044e-07 9.99999553e-01]	[1.11999828e-05 1.11987278e-05]
23	0	[0.43408139 0.56591861]	[0.4750575  0.47505751]
