Seed	Class	Mean	Std
0	0	[1. 0. 0.]	[0. 0. 0.]
0	1	[0.01473914 0.5943084  0.39095246]	[0.06757023 0.48884466 0.47560195]
0	2	[1. 0. 0.]	[0. 0. 0.]
1	0	[1.00000000e+00 0.00000000e+00 1.17081708e-33]	[0. 0. 0.]
1	1	[0.05820807 0.70179519 0.23999675]	[0.21119787 0.4525302  0.41446156]
1	2	[0. 0. 1.]	[0. 0. 0.]
2	0	[1.00000000e+00 1.49166226e-22 3.46220042e-13]	[0. 0. 0.]
2	1	[0.16994633 0.64142302 0.18863065]	[0.36095381 0.47361602 0.379223  ]
2	2	[1. 0. 0.]	[0. 0. 0.]
3	0	[1. 0. 0.]	[0. 0. 0.]
3	1	[0.03992084 0.70857678 0.25150238]	[0.13834279 0.45113112 0.40857105]
3	2	[0.18674151 0.01746399 0.79579451]	[0.34346794 0.05984311 0.34698872]
4	0	[1.00000000e+00 5.63272112e-21 8.69304899e-14]	[0. 0. 0.]
4	1	[0.0107714  0.51575702 0.47347158]	[0.07901971 0.4896943  0.48650254]
4	2	[1. 0. 0.]	[0. 0. 0.]
5	0	[5.40857109e-04 5.96257246e-03 9.93496573e-01]	[0.00154934 0.01339897 0.01434381]
5	1	[0.44856151 0.36403257 0.18740593]	[0.49007752 0.47328298 0.37831232]
5	2	[0. 1. 0.]	[0. 0. 0.]
6	0	[1.00000000e+00 0.00000000e+00 4.97525163e-32]	[0. 0. 0.]
6	1	[0.00658017 0.94871496 0.04470487]	[0.07639524 0.21946648 0.20409228]
6	2	[0.01462292 0.02514871 0.96022837]	[0.11353623 0.14923438 0.18558207]
7	0	[0.6068671  0.00071161 0.39242129]	[0.48709199 0.00423971 0.48627302]
7	1	[0.03699532 0.64752412 0.31548056]	[0.14665853 0.47032143 0.44312344]
7	2	[1.44641229e-03 1.37268609e-04 9.98416305e-01]	[0. 0. 0.]
8	0	[1.00000000e+00 0.00000000e+00 1.63464856e-31]	[0. 0. 0.]
8	1	[2.09060889e-03 9.97909388e-01 3.21516688e-09]	[4.47640990e-02 4.47640989e-02 1.01608660e-07]
8	2	[0.09715816 0.0119011  0.89094076]	[0.17025423 0.02991078 0.17146196]
9	0	[1.00000000e+00 0.00000000e+00 1.59692793e-37]	[0.00000000e+00 0.00000000e+00 6.15226099e-37]
9	1	[0.07842868 0.44725158 0.47431975]	[0.20525804 0.49029804 0.46230666]
9	2	[0. 0. 1.]	[0. 0. 0.]
10	0	[0.5514267  0.00162179 0.44695151]	[0.49236721 0.01113096 0.49076964]
10	1	[0.13073342 0.83829326 0.03097332]	[0.33364382 0.3643458  0.16954084]
10	2	[0.0145175  0.10945571 0.87602681]	[0.08418132 0.30354967 0.31024448]
11	0	[1. 0. 0.]	[0. 0. 0.]
11	1	[0.01069106 0.59190174 0.3974072 ]	[0.07413417 0.48048997 0.47386701]
11	2	[0.00871831 0.14606766 0.84521403]	[0.05535172 0.35181831 0.35278633]
12	0	[6.57367738e-01 4.12578879e-04 3.42219683e-01]	[0.47063359 0.00708843 0.4701471 ]
12	1	[0.01447593 0.63402636 0.35149772]	[0.07680556 0.47978523 0.46713954]
12	2	[0.001 0.999 0.   ]	[0.03160696 0.03160696 0.        ]
13	0	[1.00000000e+00 1.71245108e-13 1.41242081e-08]	[0.00000000e+00 5.41795544e-15 4.46870164e-10]
13	1	[0.00596809 0.94198061 0.0520513 ]	[0.04674532 0.19601031 0.17945598]
13	2	[1. 0. 0.]	[0. 0. 0.]
14	0	[1.00000000e+00 5.02220964e-20 4.92237718e-12]	[0. 0. 0.]
14	1	[0.002232   0.9431443  0.05462371]	[0.02987289 0.22687963 0.22237064]
14	2	[0.03175575 0.05021934 0.9180249 ]	[0.15298699 0.19932999 0.24647062]
15	0	[1.00000000e+00 0.00000000e+00 4.00491914e-38]	[0. 0. 0.]
15	1	[3.97158210e-04 9.90792664e-01 8.81013643e-03]	[0.00227454 0.07408307 0.0735026 ]
15	2	Empty	Empty
16	0	[0.52602298 0.003625   0.47035201]	[0.49635215 0.0062645  0.4926106 ]
16	1	[0.02152174 0.44573886 0.5327394 ]	[0.12132235 0.49311141 0.48946916]
16	2	[0. 0. 1.]	[0. 0. 0.]
17	0	[1.00000000e+00 7.55823596e-19 1.05373412e-11]	[0.00000000e+00 2.88967102e-18 3.72951349e-11]
17	1	[0.00377402 0.8679486  0.12827738]	[0.03813191 0.33534097 0.32795506]
17	2	[0. 1. 0.]	[0. 0. 0.]
18	0	[9.99943018e-01 1.63756320e-09 5.69492258e-05]	[0. 0. 0.]
18	1	[0.00377365 0.99517198 0.00105437]	[0.05817704 0.06787122 0.0253586 ]
18	2	[1. 0. 0.]	[0. 0. 0.]
19	0	[1. 0. 0.]	[0. 0. 0.]
19	1	[0.0061001  0.77682308 0.21707683]	[0.05012302 0.41151078 0.40444528]
19	2	[1.00000000e-02 9.90000000e-01 3.10715662e-27]	[9.94987437e-02 9.94987437e-02 6.93032488e-26]
20	0	[1.00000000e+00 2.29907496e-25 1.45736338e-15]	[0. 0. 0.]
20	1	[0.01522217 0.34600163 0.6387762 ]	[0.11030962 0.46875329 0.47096661]
20	2	[0. 1. 0.]	[0. 0. 0.]
21	0	[2.62538952e-01 4.71293932e-04 7.36989750e-01]	[0.43955104 0.00178887 0.43928338]
21	1	[0.03117809 0.26003492 0.70878699]	[0.14362414 0.42723128 0.43404867]
21	2	[0.         0.9525692  0.04743077]	[0.         0.20426973 0.20426974]
22	0	[1.00000000e+00 1.21171283e-24 1.42434570e-14]	[0. 0. 0.]
22	1	[0.00570218 0.83170713 0.16259069]	[0.0489016  0.37325303 0.36390485]
22	2	[0.01301006 0.80552445 0.18146549]	[0.07701252 0.34997437 0.33275329]
23	0	[9.79000004e-01 5.21069700e-07 2.09994761e-02]	[1.43384075e-01 7.43379925e-06 1.43380523e-01]
23	1	[0.00703856 0.67854205 0.31441939]	[0.04124439 0.46107787 0.45293576]
23	2	[0.00338951 0.26223191 0.73437858]	[0.03527489 0.43427094 0.43373071]
24	0	[1.00000000e+00 3.88657637e-15 6.10597987e-12]	[0. 0. 0.]
24	1	[8.84223706e-04 9.96389735e-01 2.72604290e-03]	[0.02701432 0.05478708 0.04712985]
24	2	[0.02526409 0.23012855 0.74460735]	[0.08983067 0.4153423  0.41139908]
25	0	[1.00000000e+00 0.00000000e+00 9.91979183e-41]	[0. 0. 0.]
25	1	[0.05098322 0.67648198 0.2725348 ]	[0.21293357 0.46605213 0.44110524]
25	2	[0.00575426 0.52318116 0.47106458]	[0.03728341 0.4918256  0.48737219]
26	0	[1.00000000e+00 1.70832494e-18 3.11185730e-11]	[0. 0. 0.]
26	1	[0.01755992 0.75388845 0.22855163]	[0.0868409  0.42584953 0.40423544]
26	2	[1. 0. 0.]	[0. 0. 0.]
27	0	[1. 0. 0.]	[0. 0. 0.]
27	1	[9.57053100e-21 1.00000000e+00 1.62067744e-22]	[3.02495297e-19 0.00000000e+00 5.12246386e-21]
27	2	[0.12394463 0.00371584 0.87233954]	[0.32491555 0.03452641 0.32549566]
28	0	[1.00000000e+00 3.56894034e-21 1.01228784e-14]	[0.00000000e+00 2.56446627e-20 7.27380615e-14]
28	1	[0.01327485 0.79390986 0.19281528]	[0.09611159 0.40284333 0.38843747]
28	2	[0. 0. 1.]	[0. 0. 0.]
29	0	[9.93005748e-01 1.42287821e-07 6.99410994e-03]	[8.33037240e-02 3.68033985e-06 8.33020345e-02]
29	1	[0.00873277 0.89158574 0.09968149]	[0.0815971  0.30062373 0.28788021]
29	2	[0. 1. 0.]	[0. 0. 0.]
30	0	[9.99986768e-01 3.19392619e-08 1.32099676e-05]	[0. 0. 0.]
30	1	[0.22012668 0.37649808 0.40337524]	[0.39814475 0.4768804  0.47721461]
30	2	[9.83553648e-01 1.64464191e-02 7.98050168e-33]	[0. 0. 0.]
31	0	[8.92012261e-01 2.48374622e-05 1.07962938e-01]	[3.10344742e-01 8.38341215e-05 3.10273351e-01]
31	1	[0.00483528 0.85355183 0.14161289]	[0.04932221 0.34830359 0.34026452]
31	2	Empty	Empty
32	0	[1.00000000e+00 6.96223893e-17 1.33751654e-09]	[0. 0. 0.]
32	1	[0.07982158 0.89946079 0.02071763]	[0.25859719 0.29041158 0.12720319]
32	2	[0. 0. 1.]	[0. 0. 0.]
33	0	[1.00000000e+00 4.79235618e-19 2.15570031e-12]	[0. 0. 0.]
33	1	[0.03268215 0.52186434 0.44545352]	[0.11989711 0.49393441 0.47492214]
33	2	[1. 0. 0.]	[0. 0. 0.]
34	0	[1.00000000e+00 1.47050056e-19 7.75564508e-13]	[0. 0. 0.]
34	1	[0.11554812 0.85592526 0.02852663]	[0.31430598 0.34566457 0.15973575]
34	2	[0.00497387 0.0125736  0.98245253]	[0.0214057  0.10721088 0.10935459]
35	0	[1.00000000e+00 4.02006618e-15 3.58763870e-10]	[5.32586763e-09 1.18386617e-13 3.55424881e-09]
35	1	[0.009564   0.51087136 0.47956464]	[0.06480659 0.49485989 0.48994187]
35	2	[0.01515082 0.00122416 0.98362506]	[0.12154096 0.01058749 0.12185893]
36	0	[0.32665985 0.15581569 0.51752446]	[0.45671818 0.27896768 0.43662028]
36	1	[0.08234117 0.81581194 0.1018469 ]	[0.24837141 0.36738371 0.28443125]
36	2	[0. 0. 1.]	[0. 0. 0.]
37	0	[1.00000000e+00 4.58823364e-22 4.80774604e-13]	[0.00000000e+00 2.69327309e-21 1.22708111e-12]
37	1	[0.01566712 0.56259814 0.42173475]	[0.08636425 0.48798167 0.47809059]
37	2	[0. 1. 0.]	[0. 0. 0.]
38	0	[9.99133587e-01 4.11117040e-07 8.66027243e-04]	[6.05624209e-04 2.45166009e-07 6.05363482e-04]
38	1	[0.05814674 0.73511582 0.20673744]	[0.22041025 0.41884021 0.37868468]
38	2	[0.00820234 0.98584658 0.00595108]	[0.0892883  0.11496575 0.07283897]
