Seed	Class	Iterations	Train Time
0	1	100	33.89365291595459
0	0	100	30.242582321166992
Seed	Class	Iterations	Train Time
0	1	100	33.326143980026245
0	1	100	46.61139941215515
0	1	100	53.15402364730835
0	0	100	33.75419640541077
0	0	100	39.095754623413086
0	0	100	51.15048909187317
0	0	100	33.8331561088562
0	1	100	33.55464553833008
0	0	100	29.670575380325317
0	1	100	40.232779026031494
0	0	100	33.87215709686279
0	1	100	26.370508193969727
Seed	Class	Iterations	Train Time
0	1	100	32.597174882888794
0	0	100	32.74569249153137
Seed	Class	Iterations	Train Time
0	1	100	33.74073624610901
0	0	100	34.038230419158936
1	1	100	100.75969552993774
1	0	100	32.63172507286072
2	1	100	38.90976810455322
2	0	100	32.58772802352905
3	1	100	36.66725397109985
3	0	100	30.472214937210083
4	1	100	34.91423797607422
4	0	100	35.02274203300476
5	1	100	46.084317684173584
5	0	100	37.277260065078735
6	1	100	38.61776304244995
6	0	100	31.24021577835083
7	1	100	36.31174969673157
7	0	100	32.23822283744812
8	1	100	30.444708347320557
8	0	100	110.40476083755493
9	1	100	38.037763357162476
9	0	100	32.525219678878784
10	1	100	30.06719660758972
10	0	100	32.124207973480225
11	1	100	38.75224733352661
11	0	100	32.12120079994202
12	1	100	40.493754863739014
12	0	100	32.543705463409424
13	1	100	36.90523433685303
13	0	100	33.8082172870636
14	1	100	42.437769651412964
14	0	100	32.884209871292114
15	1	100	33.47071695327759
15	0	100	32.88921046257019
16	1	100	48.13230538368225
16	0	100	33.50121450424194
17	1	100	37.42173886299133
17	0	100	32.22070622444153
18	1	100	35.41022539138794
18	0	100	31.096200704574585
19	1	100	36.92623519897461
19	0	100	32.74821066856384
20	1	100	39.68675374984741
20	0	100	31.042698860168457
21	1	100	38.52774739265442
21	0	100	29.25169062614441
22	1	100	36.48573398590088
22	0	100	31.727206230163574
23	1	100	37.56423592567444
23	0	100	85.41804575920105
24	1	100	36.391218423843384
24	0	100	33.66820287704468
25	1	100	39.1497323513031
25	0	100	32.81219506263733
26	1	100	31.17418885231018
26	0	100	33.650201082229614
27	1	100	37.45122480392456
27	0	100	33.757205963134766
28	1	100	37.24022364616394
28	0	100	30.73418927192688
29	1	100	41.604751110076904
29	0	100	33.57469940185547
30	1	100	136.48532152175903
30	0	100	31.563689708709717
31	1	100	39.51423406600952
31	0	100	30.920185327529907
32	1	100	34.97120976448059
32	0	100	38.647231578826904
33	1	100	41.58275294303894
33	0	100	31.794191598892212
34	1	100	43.667261600494385
34	0	100	32.856701612472534
35	1	100	40.069739818573
35	0	100	39.036734104156494
36	1	100	93.71855592727661
36	0	100	42.540250301361084
37	1	100	37.0402135848999
37	0	100	33.32219338417053
38	1	100	40.02823495864868
38	0	100	55.51532220840454
39	1	100	37.746718406677246
39	0	100	32.89919066429138
40	1	100	38.76572585105896
40	0	100	32.492693185806274
41	1	100	111.70214700698853
41	0	100	32.11618614196777
42	1	100	39.36222815513611
42	0	100	33.46369481086731
43	1	100	27.201158046722412
43	0	100	32.874693632125854
44	1	100	37.380216121673584
44	0	100	32.85068988800049
45	1	100	39.58923029899597
45	0	100	31.75568437576294
46	1	100	26.36265254020691
46	0	100	33.11719632148743
47	1	100	55.71032381057739
47	0	100	31.7206814289093
48	1	100	39.188724994659424
48	0	100	31.449681520462036
49	1	100	39.55972218513489
49	0	100	33.95069217681885
50	1	100	37.23120665550232
50	0	100	32.20718050003052
51	1	100	34.961195945739746
51	0	100	32.01317834854126
52	1	100	36.538203716278076
52	0	100	32.6496798992157
53	1	100	37.121711015701294
53	0	100	33.27818417549133
54	1	100	37.95371389389038
54	0	100	31.517176628112793
55	1	100	92.29251623153687
55	0	100	32.12068271636963
56	1	100	37.7852087020874
56	0	100	32.88968372344971
57	1	100	37.60371112823486
57	0	100	35.01369595527649
58	1	100	36.07970190048218
58	0	100	34.08119297027588
59	1	100	37.91270995140076
59	0	100	33.77918863296509
60	1	100	34.85219192504883
60	0	100	34.956196308135986
61	1	100	39.95972466468811
61	0	100	32.29468131065369
62	1	100	36.623204946517944
62	0	100	32.60167860984802
63	1	100	33.26017880439758
63	0	100	34.2051842212677
64	1	100	28.016151666641235
64	0	100	33.501683712005615
65	1	100	30.741667985916138
65	0	100	33.40417766571045
66	1	100	38.42070722579956
66	0	100	32.25167441368103
67	1	100	36.79019856452942
67	0	100	32.49667286872864
68	1	100	34.062180280685425
68	0	100	31.622673511505127
69	1	100	36.5286967754364
69	0	100	33.05967831611633
70	1	100	38.531209230422974
70	0	100	32.78667902946472
71	1	100	37.75020170211792
71	0	100	32.63017654418945
72	1	100	35.31619071960449
72	0	100	32.17717361450195
73	1	100	81.8339455127716
73	0	100	32.675676584243774
74	1	100	35.43469166755676
74	0	100	31.94267225265503
75	1	100	31.197670698165894
75	0	100	32.496678829193115
76	1	100	36.07919502258301
76	0	100	34.38968849182129
77	1	100	39.55021095275879
77	0	100	31.825171947479248
78	1	100	30.729669332504272
78	0	100	32.07317352294922
79	1	100	39.60071086883545
79	0	100	32.423175573349
80	1	100	39.23371076583862
80	0	100	34.15118432044983
81	1	100	39.439212799072266
81	0	100	31.276670455932617
82	1	100	37.97720289230347
82	0	100	32.34417533874512
83	1	100	28.70265769958496
83	0	100	31.950172185897827
84	1	100	40.97572183609009
84	0	100	31.39816951751709
85	1	100	138.5457489490509
85	0	100	36.83419680595398
86	1	100	37.75920557975769
86	0	100	34.12618565559387
87	1	100	39.47920870780945
87	0	100	32.84967756271362
88	1	100	38.405707120895386
88	0	100	32.3011748790741
89	1	100	34.22768497467041
89	0	100	32.51667523384094
